Восстановление корпуса	С2000-КДЛ-Modbus	0
Потеря связи по ветви ДПЛС1	С2000-КДЛ-Modbus	0
Потеря связи по ветви ДПЛС2	С2000-КДЛ-Modbus	0
Восстановление связи по ветви ДПЛС1	С2000-КДЛ-Modbus	0
Неисправность источника питания	С2000-КДЛ-Modbus	0
Восстановление источника питания	С2000-КДЛ-Modbus	0
Восстановление связи по ветви ДПЛС2	С2000-КДЛ-Modbus	0
Перезапуск устройства	С2000-КДЛ-Modbus	0
Короткое замыкание ДПЛС	С2000-КДЛ-Modbus	0
Повышение напряжения ДПЛС	С2000-КДЛ-Modbus	0
Подмена устройства	С2000-КДЛ-Modbus	0
Потерян контакт с устройством	С2000-КДЛ-Modbus	0
Восстановление контакта с устройством	С2000-КДЛ-Modbus	0
Восстановление контакта с устройством	С2000-КДЛС	0
Потерян контакт с устройством	С2000-КДЛС	0
Подмена устройства	С2000-КДЛС	0
Повышение напряжения ДПЛС	С2000-КДЛС	0
Короткое замыкание ДПЛС	С2000-КДЛС	0
Перезапуск устройства	С2000-КДЛС	0
Восстановление связи по ветви ДПЛС2	С2000-КДЛС	0
Восстановление источника питания	С2000-КДЛС	0
Неисправность источника питания	С2000-КДЛС	0
Восстановление связи по ветви ДПЛС1	С2000-КДЛС	0
Потеря связи по ветви ДПЛС2	С2000-КДЛС	0
Потеря связи по ветви ДПЛС1	С2000-КДЛС	0
Восстановление корпуса	С2000-КДЛС	0
Взлом корпуса	С2000-КДЛС	0
Восстановление ДПЛС	С2000-КДЛС	0
Изменение состояния	С2000-КДЛС	0
Изменение состояния	С2000-КПБ	0
Восстановление контакта с устройством	С2000-КПБ	0
Подмена устройства	С2000-КПБ	0
Запуск внутреннего теста	С2000-КПБ	0
Взлом корпуса	С2000-КПБ	0
Восстановление корпуса	С2000-КПБ	0
Неисправность источника питания	С2000-КПБ	0
Восстановление источника питания	С2000-КПБ	0
Перезапуск устройства	С2000-КПБ	0
Потерян контакт с устройством	С2000-КПБ	0
Потерян контакт с устройством	С2000-КПБ	201
Перезапуск устройства	С2000-КПБ	201
Восстановление источника питания	С2000-КПБ	201
Неисправность источника питания	С2000-КПБ	201
Восстановление корпуса	С2000-КПБ	201
Взлом корпуса	С2000-КПБ	201
Запуск внутреннего теста	С2000-КПБ	201
Подмена устройства	С2000-КПБ	201
Восстановление контакта с устройством	С2000-КПБ	201
Изменение состояния	С2000-КПБ	201
Изменение состояния	С2000-КС	0
Тихая тревога	С2000-КС	0
Взлом корпуса	С2000-КС	0
Восстановление корпуса	С2000-КС	0
Потерян контакт с устройством	С2000-КС	0
Восстановление контакта с устройством	С2000-КС	0
Подмена устройства	С2000-КС	0
Взлом корпуса	С2000-ПП	0
Восстановление корпуса	С2000-ПП	0
Неисправность источника питания	С2000-ПП	0
Восстановление источника питания	С2000-ПП	0
Перезапуск устройства	С2000-ПП	0
Потерян контакт с устройством	С2000-ПП	0
Восстановление контакта с устройством	С2000-ПП	0
Подмена устройства	С2000-ПП	0
Изменение состояния	С2000-ПП	0
Команда удаленного управления	С2000-ПП	0
Изменение состояния	С2000-ПТ	0
Отключение звука	С2000-ПТ	0
Взлом корпуса	С2000-ПТ	0
Восстановление корпуса	С2000-ПТ	0
Перезапуск устройства	С2000-ПТ	0
Потерян контакт с устройством	С2000-ПТ	0
Восстановление контакта с устройством	С2000-ПТ	0
Подмена устройства	С2000-ПТ	0
Изменение состояния	С2000-СП1	0
Взлом корпуса	С2000-СП1	0
Восстановление корпуса	С2000-СП1	0
Неисправность источника питания	С2000-СП1	0
Восстановление источника питания	С2000-СП1	0
Перезапуск устройства	С2000-СП1	0
Потерян контакт с устройством	С2000-СП1	0
Восстановление контакта с устройством	С2000-СП1	0
Подмена устройства	С2000-СП1	0
Восстановление источника питания	Сигнал 20М (last) 	200
Перезапуск устройства	Сигнал 20М (last) 	200
Потерян контакт с устройством	Сигнал 20М (last) 	200
Восстановление контакта с устройством	Сигнал 20М (last) 	200
Подмена устройства	Сигнал 20М (last) 	200
Отключение звука	Сигнал 20М (last) 	200
Взлом корпуса	Сигнал 20М (last) 	200
Восстановление корпуса	Сигнал 20М (last) 	200
Неисправность источника питания	Сигнал 20М (last) 	200
Изменение состояния	Сигнал 20М (last) 	200
Изменение состояния	Сигнал-10	0
Отключение звука	Сигнал-10	0
Взлом корпуса	Сигнал-10	0
Восстановление корпуса	Сигнал-10	0
Неисправность источника питания	Сигнал-10	0
Восстановление источника питания	Сигнал-10	0
Перезапуск устройства	Сигнал-10	0
Потерян контакт с устройством	Сигнал-10	0
Восстановление контакта с устройством	Сигнал-10	0
Подмена устройства	Сигнал-10	0
Отключение звука	Сигнал-20	0
Запуск внутреннего теста	Сигнал-20	0
Взлом корпуса	Сигнал-20	0
Восстановление корпуса	Сигнал-20	0
Неисправность источника питания	Сигнал-20	0
Восстановление источника питания	Сигнал-20	0
Перезапуск устройства	Сигнал-20	0
Потерян контакт с устройством	Сигнал-20	0
Восстановление контакта с устройством	Сигнал-20	0
Подмена устройства	Сигнал-20	0
Изменение состояния	Сигнал-20	0
Изменение состояния	Сигнал-20 сер. 02	0
